format	studentID	time	I can navigate around my computer using the command line (Terminal, bash, etc)	I can use basic command-line programs	I know which programs I would need to use for a full RNAseq workflow	I know the difference between a .fastq file and a .fasta file	I can align my own RNAseq data	I am comfortable working in R	I would recognize an R script by looking at it	I know the difference between R and Bioconductor	I know the difference between RPKM, FPKM and TPM when measuring gene expression by RNAseq	I know where to find genome and transcriptome reference files for RNAseq alignments.	I know how to use the 'tidyverse' set of tools to wrangle data	I know the difference between a data matrix and a data frame	I know how to use ggplot for making graphics	I understand principle component analysis (PCA) plots	I know what Gene Ontology is and how to use it for enrichment analysis	I know what GSEA and MSigDB are and how to use them for enrichment analysis	I am comfortable finding and working with public gene expression data	I can make make interactive bar and scatter plots	I know what markdown is and can understand the basics of an Rmarkdown file.	I feel good about my ability to make an RNAseq project reproducible, transparent, and well documented.
in person	0001	start	1	1	1	1	1	2	2	1	3	3	1	3	1	2	4	2	3	2	1	3
in person	0001	end	3	3	5	4	5	3	5	3	4	5	4	5	5	3	5	4	2	5	5	5
in person	0002	start	1	1	1	2	1	1	1	1	2	1	1	1	1	2	3	2	2	1	1	1
in person	0002	end	4	4	4	5	4	4	4	3	4	5	4	5	4	4	4	3	4	4	5	4
in person	0003	start	2	2	2	3	1	1	1	1	1	2	1	2	1	2	3	1	2	3	2	1
in person	0003	end	4	4	4	4	4	3	4	3	3	5	4	5	5	5	3	3	3	4	4	4
in person	0004	start	2	4	1	1	1	3	4	4	1	1	1	1	3	3	1	1	3	1	4	1
in person	0004	end	3	5	5	5	5	4	5	5	5	5	4	5	4	5	5	5	5	4	4	4
in person	0005	start	3	3	2	1	2	2	2	5	2	3	1	1	1	4	4	3	2	1	2	1
in person	0005	end	5	5	4	4	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	5
in person	0006	start	2	3	2	2	1	4	4	3	1	1	3	3	4	4	2	1	1	4	2	1
in person	0006	end	3	3	4	3	5	5	5	3	4	4	4	3	4	3	4	3	5	4	4	4
in person	0007	start	4	4	1	1	1	1	3	1	1	1	1	1	1	2	3	3	2	1	2	1
in person	0007	end	5	4	5	5	5	3	5	5	4	5	3	5	5	4	5	5	4	5	4	4
in person	0008	start	3	3	2	2	3	3	4	4	2	5	1	3	2	3	4	3	3	1	5	3
in person	0008	end	5	5	5	4	5	5	5	5	4	4	3	4	4	4	4	4	4	4	4	4
in person	0009	start	1	1	2	2	1	2	2	3	3	3	1	2	1	2	2	1	1	1	1	1
in person	0009	end	3	4	5	4	5	4	4	5	4	5	4	4	4	4	4	3	3	4	4	4
in person	0010	start	5	4	4	4	4	4	4	5	3	3	2	2	3	3	3	3	3	2	4	4
in person	0010	end	5	4	5	5	5	4	5	5	4	5	4	5	4	4	4	5	4	5	5	5
in person	0011	start	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1	1	1
in person	0011	end	2	2	4	4	4	4	4	4	3	4	3	4	4	4	4	4	3	4	4	3
in person	0012	start	1	1	1	1	1	2	4	2	1	1	2	2	4	4	2	1	1	1	1	1
